texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
A Acácia Me É Conhecida,77,104,212,435,948,526,1995,19,
A Acão Errada Parece Doce Para O Insensato Ate´Que A Reação Chegue E Traga A Dor,274,562,2839,1654,8242,4402,36595,65,
A Aliança Da Circuncisão,81,162,729,487,2188,1175,3423,21,
A Alma Do Verdadeiro Cristão,107,233,1268,671,3479,1856,5616,24,
A Alma Humana,32,86,473,144,1188,637,957,11,
A Apregoar A Liberdade Aos Cativos,123,267,1410,769,3991,2129,7772,29,
A Aqueles A Quem A Palavra De Deus Foi Dirigida,170,359,2168,1060,5299,2829,13680,38,
A Arca Da Aliança Do Eterno,85,166,670,485,2222,1194,3674,22,
A Arca Do Testemunho,66,183,1128,354,2883,1533,3128,17,
A Arte Mahikari,61,115,475,441,1593,854,1508,13,
A Arvore Da Vida,58,121,1066,372,1983,1052,1586,13,
A Assalariar Trabalhadores Para A Sua Vinha,140,356,2048,914,5702,3029,13209,37,
A Atriz,30,75,1101,232,1483,779,456,6,
A Avareza,30,75,1299,190,1513,794,608,8,
A Aventura Da Vida,54,144,1467,294,2472,1308,2175,15,
A Beleza De Ser Sunao,65,173,1559,349,2851,1512,2958,17,
A Beleza Do Corpo Fisico,100,199,1378,636,2949,1574,4000,20,
A Beleza Interior,79,160,1357,543,2532,1346,2415,15,
A Bem Aventurada Esperança,84,210,1425,442,3286,1748,4853,23,
A Benção Do Céu,44,89,494,196,1177,633,1080,12,
A Benção Quando Ouvires Os Mandamentos Do Senhor Vosso Deus Que Hoje Vos Mando,274,796,4981,1500,12696,6746,51805,65,
A Besta E O Falso Profeta,76,202,1003,412,3076,1639,4060,20,
A Biblia Tem O Poder De Santificar,130,256,1066,830,3512,1884,7196,28,
A Boa Peleja Da Fé,48,84,201,230,860,472,1190,14,
A Boca Do Tolo É Sua Ruina Seus Labios São Uma Armadilha Para Sua Prórpia Vida,254,677,4097,1558,10783,5730,42714,63,
A Bondade,28,46,127,124,484,265,376,8,
A Cabeça Da Mulher,53,98,494,271,1234,666,1485,15,
A Caridade É Esta Que Andemos Segundo Os Seus Mandamentos,179,512,2816,905,7880,4196,24624,48,
A Caridade Livra Da Morte,94,184,1048,598,2668,1426,3885,21,
A Carne Do Animal Morto,84,192,795,500,2732,1462,3667,19,
A Casa De Jaco Sera Um Fogo,75,183,858,391,2605,1394,3864,21,
A Casa De Jose Uma Chama,54,144,684,234,1980,1062,2755,19,
A Causa Da Dor,34,88,565,172,1396,742,979,11,
A Certeza Das Coisas,61,169,1483,357,2877,1523,2890,17,
A Cessação Da Dor,46,109,433,234,1575,842,1540,14,
A Ciencia Do Espirito,94,175,688,642,2397,1286,3168,18,
A Comunhão Do Espirito Santo,110,290,1541,674,4508,2399,6984,24,
A Comunhão Do Sangue De Cristo,108,270,1521,612,4086,2178,6775,25,
A Comunhão Na Fé,54,117,585,284,1589,853,1534,13,
A Concupiscencia Da Carne,92,182,821,528,2472,1327,4026,22,
A Condenação Do Diabo,72,126,378,374,1472,799,2286,18,
A Consciencia De Todo O Homem,111,228,840,629,2978,1603,5496,24,
A Contribuição De Todos É Igual Para A Soberania Conjunta,199,487,2728,1183,7375,3931,23424,48,
A Crença De Abraao O Monoteista,103,238,1102,581,3470,1854,6214,26,
A Culpa,18,54,405,78,852,453,330,6,
A Defesa Do Evangelho,77,149,752,407,1919,1034,2700,18,
A Desgraça Persegue Os Pecadores,122,275,1292,728,4121,2198,7728,28,
A Desobediencia,60,96,258,346,1066,581,1358,14,
A Distinguir Entre O Santo E O Profano,157,382,2002,1017,5922,3152,11873,31,
A Escolha,28,64,208,146,830,447,520,8,
A Escritura Diz Todo O Que Nele Crer Não Será Confundido,227,524,3512,1419,8232,4378,24150,46,
A Escritura É Divinamente Inspirada,147,327,1911,969,4983,2655,10168,31,
A Essencia Espiritual Do Fogo,115,268,1285,719,3950,2109,6725,25,
A Evolução,32,95,860,142,1555,825,864,9,
A Existencia Da Dor,71,152,1142,439,2338,1245,2448,16,
A Exposição Das Tuas Palavras,85,283,2308,467,4913,2598,7100,25,
A Exposição Das Tuas Palavras Dá A Luz,105,348,3444,567,6192,3270,10819,31,
A Face Do Abismo,49,94,292,263,1154,624,1235,13,
A Falsa Testemunha Não Ficará Impune,123,312,1743,699,4668,2490,9703,31,
A Falsa Testemunha Não Ficará Impune E O Que Profere Mentiras Perecerá,277,628,3283,1721,9434,5031,37111,59,
A Fé Em Deus Todo Poderoso,96,240,1239,526,3622,1931,5061,21,
A Fim De Que Pela Perseverança E Pela Consolação Que Dão As Escrituras Tenhamos Esperança,313,772,4093,1803,11712,6242,57975,75,
A Fim De Vos Aplicardes À Oração ,110,236,1154,666,3402,1819,6162,26,
A Fonte Da Sabedoria,68,140,599,390,1938,1039,2397,17,
A Força Da Natureza,65,155,1613,391,2677,1416,2496,16,
A Força Divina,58,103,634,384,1455,779,1248,12,
A Forma Adequada,54,108,594,304,1546,827,1526,14,
A Formação De Carater,76,148,661,460,2116,1132,2682,18,
A Glória De Deus,58,121,616,350,1709,915,1586,13,
A Gloria Do Senhor Apareceu Na Tenda Da Congregação,195,384,1653,1177,5308,2846,16555,43,
A Gloria Do Senhor Encherá Toda A Terra,156,318,1389,1022,4622,2470,10208,32,
A Gloria Do Senhor Os Cercou,116,260,1196,748,3880,2070,6003,23,
A Graça De Curar,56,101,596,364,1525,813,1326,13,
A Graça De Deus,44,89,521,234,1269,679,1080,12,
A Graça De Nosso Senhor Jesus Cristo,125,359,1772,763,5677,3018,10800,30,
A Humildade De Deus,64,136,820,330,1842,989,2192,16,
A Humildade Precede A Glória,116,197,782,726,2463,1330,4752,24,
A Idéia Da Morte Está Ligada À De Ressurreição,165,345,1650,1045,4987,2666,13148,38,
A Imposição Da Mão,63,135,459,381,1821,978,2040,15,
A Inclinação Da Carne,74,128,371,436,1516,822,2322,18,
A Iniquidade Dos Teus Servos,106,295,1996,652,4837,2566,7104,24,
A Intenção Divina,69,141,852,427,1993,1067,2130,15,
A Intuição,39,93,633,247,1435,764,846,9,
A Inveja Humana,48,120,876,266,1760,940,1573,13,
A Ira Do Senhor,64,127,478,448,1843,985,1536,12,
A Jesus,12,75,516,38,1289,682,456,6,
A Justica,21,84,624,107,1394,739,680,8,
A Justiça É Imortal,60,177,1059,360,2763,1470,2848,16,
A Lei Correta,53,107,494,353,1559,833,1188,11,
A Lei De Causa E Efeito,74,146,749,410,1922,1034,2646,18,
A Lei De Cristo,57,120,516,369,1692,906,1452,12,
A Lei De Deus Em Mentira,84,183,903,482,2525,1354,3496,19,
A Lei De Moises,53,116,368,317,1514,815,1404,12,
A Lei Do Amor,48,93,300,302,1211,652,940,10,
A Lei Do Nosso Ser É O Amor A Vida,112,274,1345,684,4122,2198,6875,25,
A Lei Do Pecado,54,90,252,304,1024,557,1092,12,
A Lei Dos Ciumes,54,135,666,310,1939,1037,1768,13,
A Lei É Santa,33,87,402,173,1235,661,880,10,
A Lei Para Que A Ofensa Abundasse,100,253,1378,554,3839,2046,6858,27,
A Lepra,26,53,197,166,751,402,324,6,
A Lepra Desapareceu,70,151,781,408,2235,1193,2584,17,
A Liberação Da Dor,64,109,361,398,1397,753,1650,15,
A Língua É Um Pequeno Membro,110,263,1550,636,3921,2092,6072,23,
A Lingua Também É Um Fogo Como Mundo De Iniquidade,191,416,2261,1087,5794,3105,17097,41,
A Linguagem Do Amor,75,156,705,451,2116,1136,2512,16,
A Lógica,30,48,111,186,510,279,343,7,
A Luz Da Verdade,52,124,1645,280,2170,1147,1625,13,
A Luz Da Verdade De Deus,74,182,2063,372,3054,1618,3477,19,
A Luz De Deus,37,118,1549,175,2146,1132,1190,10,
A Luz Era Boa,39,102,1290,231,1842,972,1030,10,
A Luz Eterna Do Amor,72,189,1737,430,3193,1691,3040,16,
A Luz Veio Ao Mundo,68,194,2120,380,3350,1772,2925,15,
A Mãe De Todos Nós,51,150,690,239,2246,1198,2114,14,
A Maldade Do Homem,60,114,303,294,1266,690,1725,15,
A Manifestação Dos Filhos De Deus,111,273,1272,609,3903,2088,7672,28,
A Mão Dos Diligentes Dominará,112,247,940,680,3389,1818,6200,25,
A Medida,28,37,64,156,309,173,266,7,
A Mente Precede A Matéria,92,182,830,536,2498,1340,3843,21,
A Mim A Vingança A Mim Exercer A Justiça Diz O Senhor,196,439,3310,1254,6753,3596,18480,42,
A Minha Alma Engrandece O Senhor,126,243,774,764,3113,1678,6588,27,
A Minha Casa Sera Chamada Por Todas As Nacões Casa De Oração,172,415,1702,956,6041,3228,20384,49,
A Minha Força Esta Em Deus,84,201,1029,474,2931,1566,4242,21,
A Minha Iniquidade,85,139,580,587,1739,939,2240,16,
A Minha Primogenitura Me Tomou,134,314,1745,868,4738,2526,8190,26,
A Minha Transgressão,76,202,913,494,3140,1671,3654,18,
A Misericórdia Do Senhor,114,222,798,794,3134,1678,4683,21,
A Missão De Yo,45,126,1080,263,2090,1108,1397,11,
A Moeda De Tributo,63,153,981,355,2353,1253,2310,15,
A Morada Dos Sábios,57,156,633,329,2372,1264,2512,16,
A Morte Por Uma Vida Desregrada,121,274,1678,765,4284,2279,7150,26,
A Morte Reinou Desde Adão Até Moises,129,318,1614,747,4770,2544,9570,30,
A Morte Subiu Pelas Nossas Janelas,94,346,1921,480,5592,2969,10063,29,
A Mulher,33,78,474,205,1168,623,553,7,
A Mulher Aprenda Em Silencio,115,241,1006,711,3303,1772,5808,24,
A Mulher Dominada Pelas Paixões,119,281,1694,711,4185,2233,7614,27,
A Multidão Estava Admirada Acerca Da Sua Doutrina,151,394,2725,841,6232,3313,16590,42,
A Multiforme Sabedoria De Deus Seja Conhecida Dos Principados E Potestades Nos Céus,299,749,3728,1721,11171,5960,53250,71,
A Ninguem Deveis Coisa Alguma,106,250,1537,608,3632,1941,6275,25,
A Noite,28,64,325,172,928,496,390,6,
A Nossa Imagem,45,117,414,253,1639,878,1416,12,
A Nossa Imagem Conforme A Nossa Semelhança,140,356,1283,758,4988,2672,12852,36,
A Nuvem Da Perdiçao,71,152,1043,407,2270,1211,2448,16,
A Obra De Cada Um Se Manifestará,94,220,1120,514,3214,1717,5746,26,
A Ordem Do Mundo,61,142,718,329,2048,1095,1859,13,
A Ordem Do Senhor,73,154,577,459,2196,1175,2170,14,
A Ovelha,28,64,505,152,944,504,455,7,
A Palavra Da Promessa,66,183,1065,386,2951,1567,3312,18,
